carat,cut,color,clarity,depth,table,x,y,z
1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13
0.71,Ideal,H,VVS1,60.4,57.0,5.78,5.81,3.5
0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52
0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57
0.26,Good,D,VS1,58.4,63.0,4.19,4.24,2.46
0.8,Very Good,E,SI2,62.5,56.0,5.88,5.96,3.7
0.72,Ideal,F,VS2,59.5,57.0,5.91,5.86,3.5
0.8,Ideal,G,SI1,62.5,57.0,5.94,5.9,3.7
0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44
0.81,Ideal,E,SI2,60.3,57.0,6.07,6.04,3.65
0.72,Very Good,H,VS1,62.2,54.0,5.74,5.76,3.57
0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56
0.82,Ideal,F,SI2,61.7,53.0,6.0,6.12,3.74
0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44
0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59
0.9,Very Good,J,SI2,63.6,58.0,6.07,6.1,3.87
0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52
0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45
0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67
0.79,Premium,E,SI2,61.0,58.0,5.96,5.9,3.62
0.7,Good,E,VS1,57.2,59.0,5.94,5.88,3.38
0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53
0.72,Ideal,I,VS1,62.4,55.0,5.72,5.75,3.58
0.78,Ideal,I,VS1,61.5,57.0,5.88,5.92,3.63
0.79,Premium,E,VS2,60.6,53.0,6.04,5.98,3.64
0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73
1.0,Premium,J,SI2,62.3,58.0,6.45,6.34,3.98
0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44
0.8,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82
0.7,Very Good,F,VS2,62.3,58.0,5.64,5.72,3.54
0.9,Fair,H,SI2,65.8,54.0,6.05,5.98,3.96
0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96
0.7,Good,E,SI1,61.4,64.0,5.66,5.71,3.49
0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54
0.71,Premium,F,SI1,60.7,54.0,5.84,5.8,3.53
0.8,Ideal,H,SI1,61.0,57.0,6.07,6.0,3.68
0.72,Good,F,VS1,59.4,61.0,5.82,5.89,3.48
0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71
0.68,Premium,F,VVS2,61.7,57.0,5.67,5.64,3.49
0.7,Good,E,VVS2,63.6,62.0,5.61,5.58,3.56
0.73,Very Good,F,SI1,61.4,56.0,5.81,5.86,3.58
0.26,Ideal,E,VS1,61.5,57.0,4.09,4.12,2.52
0.73,Very Good,E,SI1,57.7,61.0,5.92,5.96,3.43
0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87
1.01,Ideal,I,I1,61.5,57.0,6.45,6.46,3.97
0.76,Very Good,H,SI1,60.9,55.0,5.92,5.94,3.61
0.72,Ideal,D,SI1,61.8,56.0,5.75,5.81,3.57
0.7,Ideal,D,VS2,61.0,57.0,5.74,5.76,3.51
0.7,Premium,E,VS2,59.3,60.0,5.78,5.73,3.41
0.82,Good,G,SI2,59.9,62.0,6.02,6.04,3.61
0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56
0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64
0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7
0.75,Premium,E,SI1,61.1,59.0,5.86,5.83,3.57
0.33,Premium,G,SI2,59.4,59.0,4.52,4.5,2.68
0.9,Fair,D,SI2,66.9,57.0,6.02,5.9,3.99
0.74,Very Good,E,SI1,63.5,56.0,5.74,5.79,3.66
0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49
0.71,Premium,F,VS2,59.3,56.0,5.88,5.82,3.47
0.88,Fair,F,SI1,56.6,65.0,6.39,6.32,3.6
0.72,Very Good,F,VS1,62.2,58.0,5.75,5.7,3.56
1.0,Fair,I,SI1,66.3,61.0,6.08,6.03,4.01
0.75,Ideal,E,SI1,61.4,57.0,5.82,5.87,3.59
0.87,Very Good,F,SI2,61.0,63.0,6.22,6.07,3.75
0.63,Ideal,F,VVS2,61.5,56.0,5.48,5.52,3.38
0.71,Ideal,D,SI1,61.7,57.0,5.75,5.7,3.53
0.72,Premium,E,VS2,58.3,58.0,5.99,5.92,3.47
0.7,Very Good,G,SI2,59.0,62.0,5.79,5.81,3.42
0.7,Very Good,F,VS2,61.7,58.0,5.63,5.69,3.49
0.71,Premium,F,VS2,62.6,58.0,5.7,5.67,3.56
0.73,Premium,E,SI1,62.2,59.0,5.77,5.68,3.56
0.71,Premium,F,VS2,62.6,58.0,5.67,5.7,3.56
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51
0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53
0.84,Very Good,F,SI1,63.8,57.0,5.95,6.0,3.81
0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81
0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47
0.8,Very Good,F,SI1,63.4,57.0,5.89,5.82,3.71
0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53
0.81,Very Good,G,SI1,62.5,60.0,5.89,5.94,3.69
0.71,Very Good,F,VS1,60.0,57.0,5.84,5.9,3.52
0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53
0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78
